video_title,webVideoUrl,Account,date_published,likeCount,shareCount,playCount,commentCount,videoMeta.duration,hashtags,time_period
"A Rankin County supervisor called the victims tortured by Goon Squad officers ‘dopers’ and rapists.

Two days after the announcement of $2.5 million settlement, Rankin County Supervisor Steve Gaines said the department’s attorney, Jason Dare, “beat the pants off of those guys — the dopers, the people that raped and doped your daughters. He beat their pants off.”

Gaines was referring to Eddie Parker and his friend, Michael Jenkins, who were beaten, tased and sexually assaulted by the deputies before they shot Jenkins in the mouth during a mock execution. The deputies tried to plant a BB gun and drugs on the men to cover up their crimes, but they were ultimately convicted and sent to federal prison for decades.

Parker has one felony conviction in Rankin County for failing to “stop vehicle pursuant to officer’s signal,” according to court records. In Alabama, he had a 2019 conviction for drug possession with intent to distribute. Jenkins has no felony convictions listed in Rankin County. Neither has a conviction in neighboring Hinds County.

Gaines declined to comment about his remarks.

#mississippitoday #mississippi #mstoday #missisippinews #mstodaynews #mississippitodaynews",https://www.tiktok.com/@mississippitoday/video/7503669463816899886,Mississippi Today,5/13/2025,6602,1216,80100,313,126,"[""""]",20:20:18
"Mississippi has a multi-billion dollar mobile sports betting black market - how?

Political Reporter Michael Goldberg got an inside look at Mississippi's shadow sports betting economy and who is facing the largest risk of addiction.

Read more at mississippitoday.org

#mississippitoday #mstoday #mississippi #mstodaynews #gambling #sportsbetting #mobilesportsbetting #msleg #mspolitics #mississippinews",https://www.tiktok.com/@mississippitoday/video/7505124729833999646,Mississippi Today,5/19/2025,180,27,4717,3,124,"[""mississippitoday','mstoday','mississippi','mstodaynews','gambling','sportsbetting','mobilesportsbetting','msleg','mspolitics','mississippinews""]",20:38:30
"Why did Rita Brent start a late night show in Jackson, MS?

Catch Rita Brent on Mississippi Today's YouTube channel to kick off the next season of Mississippi Stories with Marshall Ramsey!

#jackson #jxn #jxnms #ritabrentcomedy #ritabrent #ritabrentlatenightshow #latenightwithritabrent #mississippitoday #mississippi #mississippinews #mississippitodaynews #mt",https://www.tiktok.com/@mississippitoday/video/7512868977043885343,Mississippi Today,6/7/2025,234,11,3060,8,53,"[""jackson','jxn','jxnms','ritabrentcomedy','ritabrent','ritabrentlatenightshow','latenightwithritabrent','mississippitoday','mississippi','mississippinews','mississippitodaynews','mt""]",14:03:17
"Hoping to be a guest on Late Night with Rita Brent? 

Head over to Mississippi Today's YouTube channel to watch Rita Brent's interview with Marshall Ramsey!

#jackson #jxn #jxnms #ritabrentcomedy #ritabrent #ritabrentlatenightshow #latenightwithritabrent #mississippitoday #mississippi #mississippinews #mississippitodaynews #mt",https://www.tiktok.com/@mississippitoday/video/7512870574499073311,Mississippi Today,6/11/2025,81,0,1575,0,33,"[""jackson','jxn','jxnms','ritabrentcomedy','ritabrent','ritabrentlatenightshow','latenightwithritabrent','mississippitoday','mississippi','mississippinews','mississippitodaynews','mt""]",21:03:31
"These Hattiesburg-area parents’ children died of addiction. Local officials are managing opioid settlements without their input.

Mental Health Reporter Allen Siegler spoke to some of those parents.

Read more of Allen's reporting at mississippitoday.org",https://www.tiktok.com/@mississippitoday/video/7514795633958571295,Mississippi Today,6/12/2025,688,82,19200,58,150,"[""""]",16:33:09
"Did you know about Robin Williams' Mississippi connection?

Catch the latest episode of Mississippi Stories with Marshall Ramsey next week on Mississippi Today's YouTube channel!

#mississippi #mississippitoday #mississippistories #robinwilliams",https://www.tiktok.com/@mississippitoday/video/7515078662262148382,Mississippi Today,6/14/2025,3135,929,50700,31,21,"[""mississippi','mississippitoday','mississippistories','robinwilliams""]",18:41:39
"Could Mississippi see its first governor with a studio album in 2027? 

Politics Editor Geoff Pender breaks down Ag Commissioner Andy Gipson's entrance to the 2027 race.
#mississippitoday #mississippitodaynews #mspolitics #msgovernorsrace #msgovernorsrace2027 #mississippi #mississippipolitics #andygipson #shadwhite #lynnfitch #tatereeves #delberthosemann",https://www.tiktok.com/@mississippitoday/video/7517029892572073246,Mississippi Today,6/18/2025,611,158,23600,23,136,"[""mississippitoday','mississippitodaynews','mspolitics','msgovernorsrace','msgovernorsrace2027','mississippi','mississippipolitics','andygipson','shadwhite','lynnfitch','tatereeves','delberthosemann""]",19:02:06
"Former GOP strategist Stuart Stevens - “I think that the Republican Party has become compromised.”

Catch the latest episode of The Other Side wherever you listen to podcasts.
#mississippitoday #mississippitodaynews #theotherside #mspolitics #mississippipolitics #mississippinews #politics",https://www.tiktok.com/@mississippitoday/video/7517398962664377630,Mississippi Today,6/19/2025,225,8,3979,9,65,"[""mississippitoday','mississippitodaynews','theotherside','mspolitics','mississippipolitics','mississippinews','politics""]",20:45:35
"Mississippi's gas, grocery and income taxes will be changing next week.  

How do you feel about these tax adjustments?
#mississippitoday #mstoday #mstodaynews #mississippi #mississippinews #incometax #grocerytaxes #gastax #mspolitics #msleg #taxes",https://www.tiktok.com/@mississippitoday/video/7520388312952065311,Mississippi Today,6/27/2025,543,100,8391,7,47,"[""mississippitoday','mstoday','mstodaynews','mississippi','mississippinews','incometax','grocerytaxes','gastax','mspolitics','msleg','taxes""]",18:12:48
"Have you ever heard of ""Ask Antar""?

Throughout Mayor Chokwe Lumumba's tenure, Jacksonians had plenty of questions.

The JXN Desk went back and looked at how Jackson residents feel about Lumumba's answers.
#mississippitoday #mstoday #mstodaynews #mississippi #mississippinews #jackson #jacksonms #jxn #jxnms #lumumba",https://www.tiktok.com/@mississippitoday/video/7521810625568279838,Mississippi Today,6/30/2025,91,2,2534,6,125,"[""mississippitoday','mstoday','mstodaynews','mississippi','mississippinews','jackson','jacksonms','jxn','jxnms','lumumba""]",18:21:17
"Could cuts to NOAA impact the MS Gulf Coast this hurricane season?

#mississippitoday #mstoday #mstodaynews #mississippi #mississippinews #noaa #hurricaneseason #gulfcoast #trump #doge",https://www.tiktok.com/@mississippitoday/video/7525211650471906590,Mississippi Today,7/10/2025,201,6,2980,7,94,"[""mississippitoday','mstoday','mstodaynews','mississippi','mississippinews','noaa','hurricaneseason','gulfcoast','trump','doge""]",20:09:08
"Family members and school communities have identified six victims killed in the New Year’s Day terror attack on Bourbon Street.

The victims include a recent high school graduate from Gulfport.

Officials say an Islamic State-inspired suspect deliberately drove a pickup truck through crowds before opening fire. 15 people were killed, and dozens injured. 

More details at WLOX.com
#neworleans #nola #bourbonstreet #terrorattact #truecrime #crime #nye #news #wloxnews",https://www.tiktok.com/@wloxtv/video/7455332450877885742,wloxtv,1/2/2025,303,10,31400,3,0,"['neworleans','nola','bourbonstreet','terrorattact','truecrime','crime','nye','news','wloxnews']",19:18:18
"On Thursday, flames ripped through part of the Hampton House Apartments off Beatline Road in Long Beach. 

No injuries were reported, but 8 families were displaced. 

The American Red Cross is helping the victims. 

Learn more at WLOX.com
#fire #apartmentfire #catrescue #firefighterrescue #firefighter #fyp #news #wloxnews",https://www.tiktok.com/@wloxtv/video/7455696463184760110,wloxtv,1/3/2025,72,6,1499,1,37,"['fire','apartmentfire','catrescue','firefighterrescue','firefighter','fyp','news','wloxnews']",20:51:41
"The mother of the youngest Bourbon Street victim was comforted by President Joe Biden before a prayer service in New Orleans on Monday.
 
18-year-old Nikyra Dedeaux of Gulfport was killed during the terror attacks on New Year's Day.
 
Melissa Dedeaux says the outpouring of love she's received is overwhelming.

More detials at WLOX.com
#NOLA #nolastrong #BourbonStreet #neworleans #truecrime #crime #fyp #news #wloxnews",https://www.tiktok.com/@wloxtv/video/7457280696072113454,wloxtv,1/7/2025,7609,420,139800,263,145,"['nola','nolastrong','bourbonstreet','neworleans','truecrime','crime','fyp','news','wloxnews']",12:14:04
"Multiple massive wildfires tore across the Los Angeles area with devastating force Wednesday, destroying more than 1,000 structures and killing at least two people as desperate residents escaped through flames, ferocious winds and towering clouds of smoke.

#lafire #lafiredepartment #losangeles  #losangelesfires #fyp #news #wloxnews",https://www.tiktok.com/@wloxtv/video/7457638781676539179,wloxtv,1/8/2025,59,1,1772,5,0,"['lafire','lafiredepartment','losangeles','losangelesfires','fyp','news','wloxnews']",20:06:28
"Hearts are still heavy following the horrific New Year's Day attack in New Orleans. On Friday, the youngest victim was laid to rest.
 
Family and the community remembered 18-year-old Nikyra Dedeaux as a joyful young woman with big dreams.
 
""The mom raised a beautiful young daughter who decided to go with friends to have some fun. She did no wrong. This was an evil monster that took the life of one of ours,"" said Gulfport councilman R. Lee Flowers.
 
Gulfport city leaders secured the facilities for the funeral and the repast to help ease the family's burden during this tragic time.

#BourbonStreet #NOLA #nolastrong #NewOrleans #crime #news",https://www.tiktok.com/@wloxtv/video/7459488301305695534,wloxtv,1/13/2025,414,18,29400,18,234,"['bourbonstreet','nola','nolastrong','neworleans','crime','news']",18:09:28
"Louis Callahan, who once competed for Team USA in the Olympic Trials, is helping build champions of all ages and physical conditions.

""Everybody can be a champion; you can be your own champion,"" Callahan said.

He leads boxing classes at senior care centers and hosts private lessons for seniors and those with physical disabilities.

Participants say they are having fun and enjoying themselves.
#boxing #seniors #fitness #seniorfitness #seniorcare #fyp #news #wloxnews",https://www.tiktok.com/@wloxtv/video/7459844280669064490,wloxtv,1/14/2025,24,3,501,1,196,"['boxing','seniors','fitness','seniorfitness','seniorcare','fyp','news','wloxnews']",20:05:45
"Officials arrested Ryan Howard of Picayune on several charges involving what officers describe as ""guns, green, and gators.""
 
After searching Howard's home officials say they found 51 pounds of Marijuana, 3 vials of marijuana seeds, anabolic steroids, and 6 ounces of mushrooms.
 
Officers also say they found 14 firearms and 8 alligators in the backyard pool.
 
""You never know what you're going to find,"" explained Picayune Police Chief Joe Quave.

More details at WLOX.com
#truecrime #alligator #gunsgreengator #news #wloxnews #fyp",https://www.tiktok.com/@wloxtv/video/7460579573877640494,wloxtv,1/16/2025,43,25,1042,2,90,"['truecrime','alligator','gunsgreengator','news','wloxnews','fyp']",17:57:40
"The Gautier community joined together to remember Shermarion Miner, who passed away on Jan. 9 due to a medical emergency at Gautier High School.
 
Miner was 15 years old and played offensive lineman for Gautier High, where he attended as a sophomore.
 
In memory of Miner the ""JV Lineman Award"" will now be called the ""Shermarion Miner JV Offensive Lineman Award.”

More at WLOX.com
#hsfootball #gautier #vigil #rip #news #fyp",https://www.tiktok.com/@wloxtv/video/7460972305108405550,wloxtv,1/17/2025,45,2,1574,2,129,"['hsfootball','gautier','vigil','rip','news','fyp']",19:11:12
"January 21, 2025 will forever be known as Snow Day 2025 in South Mississippi after a historic winter storm dumped snow along the Gulf Coast from Texas to Florida.
 
According to the National Weather Service Office out of New Orleans, the official total recorded at Gulfport-Biloxi International Airport, where official weather records are kept was seven inches.
 
That ties the record for the top snowiest day for Gulfport set back on December 31, 1963.
 
You can find more details on the historic snow at WLOX.com.
#snow #snowday #southernsnowstorm #winterweather #winterstorm2025 #fyp #news #wloxnews",https://www.tiktok.com/@wloxtv/video/7464599830061436202,wloxtv,1/27/2025,99,2,1374,3,55,"['snow','snowday','southernsnowstorm','winterweather','winterstorm2025','fyp','news','wloxnews']",19:28:00
"It is getting harder and harder to hear about the Holocaust from people who lived through it.
 
In Gulfport Sunday night, there was a rare opportunity to hear about Nazi-occupied Poland from a Jewish woman.
 
Irene Skolnick was just two years old when Nazi Germany invaded Poland in 1939. Her mother and father paid for forged identification cards and the anxiety of hiding their Jewish family members in their home.
 
More on WLOX.com.
#holocaustsurvivors #holocaustrembrance #fyp #news #wloxnews",https://www.tiktok.com/@wloxtv/video/7464696863556537646,wloxtv,1/27/2025,13,0,337,0,149,"['holocaustsurvivors','holocaustrembrance','fyp','news','wloxnews']",17:24:28
"Bay St. Louis resident Sandi Favre analyzed the charred remains of her home on Ulman Street.

A fire ripped through the 19th-century home in the early morning hours of January 22.

Favre said she was out of town when the fire broke out. Her husband was home asleep, and the smell of smoke made him jump out of bed.

Favre's husband was able to get out of the home along with their two dogs, but the family cat is still missing.

More at WOX.com
#fire #housefire #firefighter #fyp #news #wloxnews",https://www.tiktok.com/@wloxtv/video/7465072220772076846,wloxtv,1/28/2025,88,6,1213,0,141,"['fire','housefire','firefighter','fyp','news','wloxnews']",18:42:59
"12-year-old Traniya Ward died from injuries after an apartment fire in Biloxi.
 
80% of her body was covered in severe burns, and she went through more than 60 surgeries.
 
Despite the hospital staff's best efforts, the 12-year-old was losing too much blood. Her heart became weak and her young, tired body was shutting down.
 
""I was laying with her, kissing her, rubbing her head,"" Traniya 's grandmother Miko Butler recalled. ""I was talking to her, praying with her. I was not wanting her to leave by herself. I was there, right there with her until her heart stopped.""
 
Funeral arrangements have been made for Traniya in McComb, Mississippi.
 
More at WLOX.com.
#Fire #Firefighter #apartmentfire #fyp #news #wloxnews",https://www.tiktok.com/@wloxtv/video/7465428880300592430,wloxtv,1/29/2025,114,0,1636,5,259,"['fire','firefighter','apartmentfire','fyp','news','wloxnews']",13:29:13
"The governing body of figure skating in the U.S. said team members were on the American Airlines passenger jet that collided with an Army helicopter late Wednesday night.

Video from an observation camera at the nearby Kennedy Center showed two sets of lights consistent with aircraft appearing to join in a fireball. 

More on WLOX.com 

#planecrash #blackhawkhelicopter #reaganairport #potomacriver #fyp #breakingnews #news #wloxnews",https://www.tiktok.com/@wloxtv/video/7465681797872094510,wloxtv,1/30/2025,7,1,483,1,40,"['planecrash','blackhawkhelicopter','reaganairport','potomacriver','fyp','breakingnews','news','wloxnews']",19:58:10
"As we count down the days until Fat Tuesday, one Picayune business is staying busy.
 
Crews at Paul's Pastry work all hours of the day, baking and serving mouth-watering cakes and treats.
 
You can take a look 'Behind the Business' at WLOX.com
#kingcake #mardigras #carnivalseason #picayune #behindthebusiness #fyp #news #wloxnews",https://www.tiktok.com/@wloxtv/video/7467265833052474667,wloxtv,2/3/2025,6,1,248,0,182,"['kingcake','mardigras','carnivalseason','picayune','behindthebusiness','fyp','news','wloxnews']",13:46:11
"Saint Louis Cathedral in New Orleans glowed in a breathtaking display of lights as the city gears up to host Super Bowl LIX.
 
The Lombardi Trophy is the big prize, and it arrived in the big easy with a second-line parade.
 
The Kansas City Chiefs and Philadelphia Eagles will battle it out in the Superdome on Sunday.
 
More on all the Super Bowl celebrations at WLOX.com
#neworleans #bigeasy #superbowl #superbowlLIX #superbowl59 #lombarditrophy #parade #fyp #wloxnews",https://www.tiktok.com/@wloxtv/video/7467302158971440430,wloxtv,2/3/2025,76,23,1327,3,42,"['neworleans','bigeasy','superbowl','superbowllix','superbowl59','lombarditrophy','parade','fyp','wloxnews']",14:47:55
"Around a hundred people gathered for a protest at the Biloxi Lighthouse Pier Monday afternoon.
 
The demonstration criticized recent immigration enforcement in the United States.
 
Among those participating was Alan Lara. He is a first-generation American and told WLOX News he felt it was his duty to be there.
 
""I just want to build a legacy that we can remember and be proud of,"" Lara said.
 
Another protest is planned for Saturday at noon.
 
More details on WLOX.com.
#protest #immigration #immigrationreform #biloxi #fyp #news #wloxnews",https://www.tiktok.com/@wloxtv/video/7467613802763226414,wloxtv,2/4/2025,255,94,6442,59,171,"['protest','immigration','immigrationreform','biloxi','fyp','news','wloxnews']",18:13:50
